,1960,1965,1970,1975,1980,1985,1990,1995,2000
0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0.231061468,0.238045825,0.215184909,0.202152558,0.186259887,0.171160247,0.157745393,0.150176539,0.146023953
20,0.365138594,0.376175736,0.361183342,0.351026545,0.335597003,0.321615378,0.309466276,0.298134397,0.287858884
25,0.307983617,0.31729312,0.321727826,0.322538577,0.319099884,0.314555636,0.306987946,0.293697825,0.281171568
30,0.25784739,0.265641412,0.276176976,0.280526546,0.281020156,0.278865834,0.271387105,0.257977827,0.246625825
35,0.178048162,0.183430072,0.204400644,0.214532137,0.222139893,0.224213633,0.218807021,0.205684121,0.192522198
40,0.091187068,0.093943404,0.110901453,0.118788039,0.125356384,0.124928139,0.118531815,0.108227043,0.099856427
45,0.019532546,0.020122961,0.029365773,0.033661432,0.037761799,0.038367574,0.037451035,0.034713839,0.032916288
50,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
