,1960,1965,1970,1975,1980,1985,1990,1995,2000
0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
20,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
25,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
30,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
35,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
40,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
45,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
50,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.055
55,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
