,1960,1975,1985,1995,2005
0,386000,545000,723000,940000,1235000
5,292000,440000,575000,759000,999000
10,260000,377000,490000,653000,861000
15,244000,320000,418000,554000,741000
20,207000,258000,345000,462000,636000
25,175000,216000,276000,381000,530000
30,153000,193000,216000,310000,437000
35,135000,160000,181000,247000,359000
40,117000,136000,164000,192000,288000
45,98000,119000,135000,160000,226000
50,78000,102000,112000,140000,171000
55,60000,83000,93000,111000,136000
60,43000,63000,74000,85000,112000
65,29000,43000,53000,63000,78000
70,17000,25000,33000,41000,50000
75,8000,12000,16000,21000,27000
80,2000,5000,6000,9000,12000
