,1960,1965,1970,1975,1980,1985,1990,1995,2000
0,0.762486,0.786544,0.805132,0.82201,0.836274,0.846726,0.855456,0.865618,0.876706
5,0.878227272,0.894223337,0.904087777,0.91301809,0.920679108,0.924998169,0.927769517,0.933155272,0.940059724
10,0.97137848,0.974783393,0.977532937,0.979960294,0.982024573,0.983639335,0.984981088,0.986287938,0.98754362
15,0.973031808,0.976187629,0.978767658,0.981057011,0.983007539,0.984551003,0.98583939,0.987068836,0.988241654
20,0.957770868,0.962580907,0.966581855,0.970136015,0.973185407,0.975649436,0.977689717,0.979615401,0.981440223
25,0.94817552,0.953930212,0.958804113,0.963145188,0.966894412,0.969944624,0.972482422,0.974871097,0.977081095
30,0.946007544,0.951825696,0.956851274,0.96134039,0.965257601,0.968464402,0.971174265,0.973656107,0.975947102
35,0.939376552,0.945691456,0.951249369,0.956255554,0.960626772,0.964272768,0.967378932,0.970153418,0.972700027
40,0.92587894,0.933255722,0.939909853,0.945928852,0.951222671,0.955743525,0.959585248,0.963001599,0.966058361
45,0.905228302,0.914105961,0.922344444,0.92986095,0.936553482,0.942368267,0.947359179,0.951719716,0.955591747
50,0.875376659,0.886116291,0.896426874,0.905951455,0.91456187,0.922210517,0.92888325,0.934587805,0.939582859
55,0.832338014,0.845199151,0.858079693,0.870173364,0.881309996,0.891541899,0.900590047,0.908190235,0.914702659
60,0.773616481,0.788349998,0.803889136,0.818757621,0.83279932,0.846251476,0.858412827,0.868400261,0.876782505
65,0.696611799,0.712334372,0.730035246,0.747318582,0.764078206,0.780980993,0.79675477,0.809393637,0.819685713
70,0.592880344,0.608176056,0.6267322,0.645195394,0.663701284,0.683553719,0.702776071,0.717755159,0.72941447
75,0.454757079,0.468023063,0.485384338,0.502882269,0.520970202,0.541703828,0.562646044,0.578318966,0.589593212
80,0.318167777,0.328271028,0.34246497,0.356806301,0.371757081,0.38987125,0.408865534,0.422151002,0.430543024
85,0.20998613,0.21891513,0.231713427,0.244267788,0.257613947,0.27504223,0.293532338,0.305467279,0.311445721
